iter	Passed	Remaining
143	1653	113186
144	1664	113136
145	1675	113100
146	1685	113003
147	1697	112966
148	1707	112870
149	1718	112822
150	1728	112753
151	1739	112697
152	1750	112676
153	1762	112663
154	1772	112593
155	1783	112521
156	1790	112264
157	1799	112093
158	1808	111935
159	1816	111696
160	1825	111562
161	1835	111442
162	1845	111380
163	1856	111355
164	1868	111373
165	1880	111396
166	1892	111408
167	1904	111434
168	1915	111428
169	1927	111450
170	1939	111489
171	1952	111538
172	1963	111528
173	1974	111516
174	1987	111572
175	1995	111410
176	2003	111207
177	2013	111092
178	2024	111100
179	2037	111144
180	2049	111161
181	2060	111153
182	2072	111181
183	2085	111249
184	2096	111242
185	2108	111253
186	2120	111297
187	2132	111279
188	2143	111255
189	2155	111273
190	2167	111318
191	2179	111353
192	2192	111397
193	2202	111304
194	2209	111118
195	2218	110972
196	2230	111013
197	2243	111045
198	2254	111026
199	2266	111076
200	2279	111146
201	2291	111137
202	2303	111161
203	2315	111189
204	2327	111221
205	2338	111193
206	2350	111178
207	2359	111089
208	2371	111079
209	2383	111097
210	2394	111077
211	2405	111063
212	2414	110936
213	2422	110789
214	2434	110781
215	2445	110793
216	2456	110759
217	2468	110762
218	2480	110776
219	2491	110754
220	2503	110762
221	2515	110792
222	2527	110804
223	2538	110806
224	2549	110754
225	2560	110734
226	2571	110699
227	2580	110580
228	2590	110515
229	2602	110556
230	2611	110447
231	2620	110315
232	2626	110085
233	2634	109936
234	2642	109821
235	2653	109799
236	2664	109763
237	2675	109737
238	2686	109701
239	2696	109674
240	2707	109629
241	2717	109569
242	2727	109498
243	2738	109500
244	2747	109398
245	2758	109366
246	2768	109313
247	2778	109274
248	2789	109220
249	2798	109152
250	2810	109177
251	2821	109130
252	2828	108979
253	2835	108814
254	2847	108801
255	2857	108763
256	2868	108760
257	2880	108765
258	2891	108764
259	2902	108746
260	2912	108676
261	2922	108641
262	2933	108606
263	2944	108578
264	2955	108563
265	2965	108509
266	2976	108487
267	2987	108490
268	2998	108462
269	3009	108439
270	3019	108392
271	3028	108321
272	3036	108188
273	3043	108046
274	3050	107883
275	3059	107798
276	3070	107780
277	3081	107758
278	3092	107736
279	3102	107709
280	3112	107652
281	3122	107617
282	3134	107615
283	3145	107619
284	3154	107538
285	3165	107503
286	3176	107502
287	3187	107479
288	3198	107468
289	3208	107428
290	3218	107397
291	3229	107375
292	3240	107365
293	3249	107264
294	3256	107124
295	3262	106967
296	3270	106857
297	3281	106823
298	3290	106769
299	3301	106748
300	3312	106730
301	3329	106910
302	3342	106974
303	3356	107057
304	3368	107078
305	3379	107071
306	3390	107033
307	3399	106973
308	3410	106947
309	3420	106919
310	3431	106898
311	3442	106887
312	3451	106813
313	3458	106691
314	3465	106561
315	3475	106502
316	3487	106523
317	3497	106497
318	3508	106478
319	3518	106437
320	3529	106427
321	3538	106363
322	3546	106249
323	3555	106168
324	3566	106161
325	3576	106122
326	3585	106068
327	3595	106025
328	3606	106006
329	3616	105972
330	3627	105952
331	3637	105934
332	3647	105883
333	3655	105777
334	3661	105646
335	3669	105528
336	3679	105515
337	3689	105479
338	3701	105476
339	3711	105462
340	3722	105451
341	3733	105444
342	3744	105436
343	3754	105401
344	3763	105314
345	3773	105298
346	3785	105313
347	3797	105315
348	3807	105286
349	3817	105251
350	3828	105234
351	3838	105207
352	3849	105193
353	3858	105133
354	3865	105032
355	3872	104897
356	3878	104770
357	3887	104697
358	3898	104695
359	3909	104675
360	3919	104652
361	3929	104621
362	3940	104604
363	3951	104608
364	3962	104595
365	3972	104554
366	3983	104569
367	3994	104557
368	4005	104532
369	4015	104504
370	4026	104496
371	4036	104476
372	4047	104469
373	4058	104456
374	4067	104392
375	4074	104297
376	4081	104174
377	4087	104050
378	4096	104002
379	4106	103970
380	4117	103948
381	4127	103915
382	4138	103914
383	4148	103894
384	4159	103887
385	4169	103846
386	4179	103824
387	4190	103809
388	4201	103798
389	4211	103781
390	4222	103778
391	4233	103766
392	4244	103752
393	4254	103731
394	4266	103736
395	4275	103701
396	4283	103614
397	4290	103518
398	4296	103396
399	4304	103302
400	4316	103328
401	4326	103306
402	4337	103287
403	4347	103267
404	4358	103266
405	4369	103260
406	4380	103258
407	4391	103238
